edge,n_iso,n_blocks,has_dupl,n_categories,majority_category,singleton,cat_entropy,n_nodes,min_length,max_length,mean_length,n_all_cores,core_left_length,core_right_length,transitive,nonempty_acc_len,nonempty_freq,tot_acc_len
SUTPFZJSZW_r__XWQYUUGDGN_r,222,4,False,3,220,False,0.057641074676245505,11,10400,11177,10407.0,220,8085.0,2076.0,False,777.0,0.009009009009009009,777
JNLRGIQXOF_r__LOWYZIKPDZ_f,222,4,False,4,201,False,0.36043741555189623,11,25021,26314,25046.662162162163,201,,1325.0,False,271.2857142857143,0.0945945945945946,1394
JPYVXRYZLU_r__PTUQIACJXK_r,222,3,False,2,221,True,0.028830728559561508,5,15425,17965,15436.441441441442,221,14002.0,1423.0,False,2540.0,0.0045045045045045045,2540
QXRGVLICMC_r__RQUTOCWADD_r,222,3,False,2,220,False,0.051396505482011766,5,4375,5152,4382.0,220,3586.0,789.0,False,777.0,0.009009009009009009,777
SBTAELODZT_f__YYFLULYKQO_f,222,3,False,2,221,True,0.028830728559561508,5,7524,43624,7686.612612612613,221,3291.0,4233.0,False,36100.0,0.0045045045045045045,36100
KPBYGJHRZJ_f__PTUISUDLZT_f,222,5,True,3,220,False,0.057641074676245505,15,10397,11933,10407.378378378378,220,7229.0,2286.0,False,1152.0,0.009009009009009009,768
KLARMMLEPU_r__WBEPREVZIH_f,222,5,False,3,210,False,0.24067990658985275,12,43535,45846,44181.09459459459,9,40092.0,3222.0,False,673.3943661971831,0.9594594594594594,2311
KLARMMLEPU_f__OJTZQVKWWG_r,222,3,False,2,220,False,0.051396505482011766,5,40780,42033,40791.28828828829,220,40095.0,685.0,False,1253.0,0.009009009009009009,1253
KLALYXYDKQ_r__MEHHGHHPUN_r,222,3,False,2,221,True,0.028830728559561508,5,1960,2736,1963.4954954954956,221,512.0,1448.0,False,776.0,0.0045045045045045045,776
RYJVCTXEHC_r__STVEZQVFDI_r,222,3,False,2,220,False,0.051396505482011766,5,13875,14651,13881.990990990991,220,9147.0,4728.0,False,776.0,0.009009009009009009,776
